id,name,type1,type2,hp,attack,defense,special-attack,special-defense,speed,final_evo
65,alakazam,psychic,,55,50,45,135,95,120,True
66,machop,fighting,,70,80,50,35,35,35,False
67,machoke,fighting,,80,100,70,50,60,45,False
68,machamp,fighting,,90,130,80,65,85,55,True
69,bellsprout,grass,poison,50,75,35,70,30,40,False
70,weepinbell,grass,poison,65,90,50,85,45,55,False
71,victreebel,grass,poison,80,105,65,100,70,70,True
72,tentacool,water,poison,40,40,35,50,100,70,False
73,tentacruel,water,poison,80,70,65,80,120,100,True
74,geodude,rock,ground,40,80,100,30,30,20,False
75,graveler,rock,ground,55,95,115,45,45,35,False
76,golem,rock,ground,80,120,130,55,65,45,True
77,ponyta,fire,,50,85,55,65,65,90,False
78,rapidash,fire,,65,100,70,80,80,105,True
79,slowpoke,water,psychic,90,65,65,40,40,15,False
80,slowbro,water,psychic,95,75,110,100,80,30,True
81,magnemite,electric,steel,25,35,70,95,55,45,False
82,magneton,electric,steel,50,60,95,120,70,70,False
83,farfetchd,normal,flying,52,90,55,58,62,60,False
84,doduo,normal,flying,35,85,45,35,35,75,False
85,dodrio,normal,flying,60,110,70,60,60,110,True
86,seel,water,,65,45,55,45,70,45,False
87,dewgong,water,ice,90,70,80,70,95,70,True
88,grimer,poison,,80,80,50,40,50,25,False
89,muk,poison,,105,105,75,65,100,50,True
90,shellder,water,,30,65,100,45,25,40,False
91,cloyster,water,ice,50,95,180,85,45,70,True
92,gastly,ghost,poison,30,35,30,100,35,80,False
93,haunter,ghost,poison,45,50,45,115,55,95,False
94,gengar,ghost,poison,60,65,60,130,75,110,True
95,onix,rock,ground,35,45,160,30,45,70,False
96,drowzee,psychic,,60,48,45,43,90,42,False
97,hypno,psychic,,85,73,70,73,115,67,True
98,krabby,water,,30,105,90,25,25,50,False
99,kingler,water,,55,130,115,50,50,75,True
100,voltorb,electric,,40,30,50,55,55,100,False
101,electrode,electric,,60,50,70,80,80,150,True
102,exeggcute,grass,psychic,60,40,80,60,45,40,False
103,exeggutor,grass,psychic,95,95,85,125,75,55,True
104,cubone,ground,,50,50,95,40,50,35,False
105,marowak,ground,,60,80,110,50,80,45,True
106,hitmonlee,fighting,,50,120,53,35,110,87,True
107,hitmonchan,fighting,,50,105,79,35,110,76,True
108,lickitung,normal,,90,55,75,60,75,30,False
109,koffing,poison,,40,65,95,60,45,35,False
110,weezing,poison,,65,90,120,85,70,60,True
111,rhyhorn,ground,rock,80,85,95,30,30,25,False
112,rhydon,ground,rock,105,130,120,45,45,40,False
113,chansey,normal,,250,5,5,35,105,50,False
114,tangela,grass,,65,55,115,100,40,60,False
115,kangaskhan,normal,,105,95,80,40,80,90,True
116,horsea,water,,30,40,70,70,25,60,False
117,seadra,water,,55,65,95,95,45,85,False
118,goldeen,water,,45,67,60,35,50,63,False
119,seaking,water,,80,92,65,65,80,68,True
120,staryu,water,,30,45,55,70,55,85,False
121,starmie,water,psychic,60,75,85,100,85,115,True
122,mr-mime,psychic,fairy,40,45,65,100,120,90,False
123,scyther,bug,flying,70,110,80,55,80,105,False
124,jynx,ice,psychic,65,50,35,115,95,95,True
125,electabuzz,electric,,65,83,57,95,85,105,False
126,magmar,fire,,65,95,57,100,85,93,False
127,pinsir,bug,,65,125,100,55,70,85,True
128,tauros,normal,,75,100,95,40,70,110,True
129,magikarp,water,,20,10,55,15,20,80,False
130,gyarados,water,flying,95,125,79,60,100,81,True
131,lapras,water,ice,130,85,80,85,95,60,True
132,ditto,normal,,48,48,48,48,48,48,True
133,eevee,normal,,55,55,50,45,65,55,False
134,vaporeon,water,,130,65,60,110,95,65,True
135,jolteon,electric,,65,65,60,110,95,130,True
136,flareon,fire,,65,130,60,95,110,65,True
137,porygon,normal,,65,60,70,85,75,40,False
138,omanyte,rock,water,35,40,100,90,55,35,False
139,omastar,rock,water,70,60,125,115,70,55,True
140,kabuto,rock,water,30,80,90,55,45,55,False
141,kabutops,rock,water,60,115,105,65,70,80,True
142,aerodactyl,rock,flying,80,105,65,60,75,130,True
143,snorlax,normal,,160,110,65,65,110,30,True
144,articuno,ice,flying,90,85,100,95,125,85,True
145,zapdos,electric,flying,90,90,85,125,90,100,True
146,moltres,fire,flying,90,100,90,125,85,90,True
147,dratini,dragon,,41,64,45,50,50,50,False
148,dragonair,dragon,,61,84,65,70,70,70,False
149,dragonite,dragon,flying,91,134,95,100,100,80,True
150,mewtwo,psychic,,106,110,90,154,90,130,True
151,mew,psychic,,100,100,100,100,100,100,True
